State,Participation,Evidence-Based Reading and Writing,Math,Total
Alabama,6.0,595.0,571.0,1166.0
Alaska,43.0,562.0,544.0,1106.0
Arizona,29.0,577.0,572.0,1149.0
Arkansas,5.0,592.0,576.0,1169.0
California,60.0,540.0,536.0,1076.0
Colorado,100.0,519.0,506.0,1025.0
Connecticut,100.0,535.0,519.0,1053.0
Delaware,100.0,505.0,492.0,998.0
DistrictofColumbia,92.0,497.0,480.0,977.0
Florida,97.0,522.0,493.0,1014.0
Georgia,70.0,542.0,522.0,1064.0
Hawaii,56.0,550.0,549.0,1099.0
Idaho,100.0,508.0,493.0,1001.0
Illinois,99.0,513.0,506.0,1019.0
Indiana,67.0,546.0,539.0,1086.0
Iowa,3.0,634.0,631.0,1265.0
Kansas,4.0,633.0,631.0,1265.0
Kentucky,4.0,630.0,618.0,1248.0
Louisiana,4.0,615.0,595.0,1210.0
Maine,99.0,512.0,501.0,1013.0
Maryland,76.0,545.0,535.0,1080.0
Massachusetts,80.0,562.0,563.0,1125.0
Michigan,100.0,511.0,499.0,1011.0
Minnesota,4.0,643.0,655.0,1298.0
Mississippi,3.0,630.0,606.0,1236.0
Missouri,4.0,633.0,629.0,1262.0
Montana,10.0,606.0,592.0,1198.0
Nebraska,3.0,629.0,623.0,1252.0
Nevada,23.0,574.0,566.0,1140.0
NewHampshire,96.0,535.0,528.0,1063.0
NewJersey,82.0,547.0,547.0,1094.0
NewMexico,16.0,552.0,540.0,1093.0
NewYork,79.0,534.0,534.0,1068.0
NorthCarolina,52.0,554.0,543.0,1098.0
NorthDakota,2.0,640.0,643.0,1283.0
Ohio,18.0,552.0,547.0,1099.0
Oklahoma,8.0,541.0,521.0,1062.0
Oregon,48.0,564.0,553.0,1117.0
Pennsylvania,70.0,547.0,539.0,1086.0
RhodeIsland,97.0,513.0,505.0,1018.0
SouthCarolina,55.0,547.0,523.0,1070.0
SouthDakota,3.0,622.0,618.0,1241.0
Tennessee,6.0,624.0,607.0,1231.0
Texas,66.0,520.0,512.0,1032.0
Utah,4.0,618.0,612.0,1230.0
Vermont,64.0,565.0,554.0,1120.0
Virginia,68.0,567.0,550.0,1117.0
Washington,69.0,543.0,538.0,1081.0
WestVirginia,28.0,513.0,486.0,999.0
Wisconsin,3.0,641.0,653.0,1294.0
Wyoming,3.0,633.0,625.0,1257.0
